Date,PM2.5,PM10,NO,NO2,NOx,SO2
2018-11-11,244.5383333333333,408.97166666666664,108.06666666666665,55.498333333333335,116.90833333333335,16.165
2018-11-12,270.80833333333334,466.3033333333333,111.22333333333334,74.82166666666667,134.01500000000001,17.688333333333333
2018-11-13,244.75666666666663,417.0566666666666,88.46,72.85833333333333,110.23333333333335,16.22
2018-11-14,131.57000000000002,218.01833333333332,48.16833333333333,51.53,68.615,14.131666666666666
2018-11-15,98.49,175.87,26.103333333333335,46.06333333333333,45.193333333333335,13.073333333333332
2018-11-16,147.86333333333332,234.20499999999996,9.321666666666667,41.93666666666667,29.275000000000002,13.050000000000002
2018-11-17,129.00666666666666,247.51666666666668,46.623333333333335,58.38833333333334,67.30499999999999,14.11
2018-11-18,160.595,287.66,103.62333333333333,66.95833333333333,119.49166666666667,15.138333333333334
2018-11-19,181.77833333333334,314.90166666666664,23.125,66.96333333333332,53.88166666666667,14.110000000000001
2018-11-20,208.9933333333333,358.9166666666667,66.685,70.42666666666666,91.20166666666667,16.098333333333333
2018-11-21,213.81333333333336,348.49500000000006,61.171666666666674,64.55499999999999,83.66333333333334,14.613333333333335
2018-11-22,127.88666666666666,284.8633333333333,107.90166666666666,84.72500000000001,130.35333333333332,16.993333333333336
2018-11-23,172.86833333333334,316.18,84.935,70.02666666666666,107.52999999999999,14.598333333333334
2018-11-24,100.72833333333334,225.94500000000002,23.503333333333334,50.79999999999999,45.635,14.11
2018-11-25,114.44666666666667,246.73833333333332,60.931666666666665,61.98666666666667,82.025,15.323333333333332
2018-11-26,197.77166666666668,354.4116666666667,106.72000000000001,73.73,120.44833333333334,18.635
2018-11-27,195.30166666666665,352.94,130.17499999999998,72.08,158.66,15.321666666666665
2018-11-28,188.16,343.53999999999996,134.14000000000001,71.35166666666666,159.54,14.238333333333335
2018-11-29,185.21166666666667,332.6466666666667,107.13833333333332,68.33,127.5,11.068333333333335
2018-11-30,184.955,328.50833333333327,65.16499999999999,65.63666666666667,87.42833333333333,14.143333333333333
2018-12-01,150.55499999999998,301.23333333333335,68.49333333333333,68.58,89.91833333333334,13.803333333333335
2018-12-02,157.45166666666665,294.51000000000005,140.92333333333332,72.55833333333335,158.1783333333333,14.748333333333333
2018-12-03,180.73833333333334,342.78833333333324,134.66166666666666,81.76333333333334,148.87166666666667,14.635
2018-12-04,201.29,368.8066666666667,141.89499999999998,85.66666666666667,178.465,14.450000000000001
2018-12-05,179.46,326.1,129.45166666666665,75.37666666666665,143.37666666666664,13.571666666666665
2018-12-06,227.13666666666666,400.2433333333333,157.9,90.07000000000001,176.86833333333334,14.731666666666667
2018-12-07,207.35333333333332,363.64166666666665,118.67833333333334,71.65166666666667,134.95166666666668,13.381666666666668
2018-12-08,215.83,365.40166666666664,114.835,79.415,135.215,13.931666666666667
2018-12-09,262.20166666666665,435.02500000000003,148.94333333333336,92.005,182.3983333333333,16.725
2018-12-10,305.85499999999996,497.09666666666675,126.295,84.48833333333333,177.24666666666667,14.896666666666667
2018-12-11,300.705,480.17333333333335,124.09166666666668,82.71833333333333,154.36666666666665,12.621666666666664
2018-12-12,197.61833333333334,307.48999999999995,81.01333333333334,66.94500000000001,103.60666666666667,12.076666666666668
2018-12-13,112.67333333333333,197.63166666666666,52.42666666666667,55.845,72.04333333333334,12.969999999999999
2018-12-14,125.09999999999998,216.65333333333334,44.59833333333333,56.98166666666666,66.27166666666666,12.921666666666665
2018-12-15,132.71666666666667,227.22333333333333,35.655,58.26166666666666,59.64833333333333,13.351666666666667
2018-12-16,157.71,263.28333333333336,54.835,61.96833333333333,77.24333333333333,15.36
2018-12-17,205.10500000000002,352.84833333333336,93.11,71.69833333333334,115.61833333333334,16.796666666666663
2018-12-18,217.72166666666666,363.155,61.98499999999999,74.895,89.925,20.183333333333334
2018-12-19,200.74833333333333,363.2833333333333,65.97666666666667,73.22666666666667,92.18,19.235000000000003
2018-12-20,250.16499999999996,420.1166666666666,141.4933333333333,80.00333333333333,159.21833333333333,20.003333333333334
2018-12-21,269.56666666666666,419.32,104.18333333333334,73.87833333333333,122.445,19.575
2018-12-22,337.6716666666666,532.3316666666667,112.37333333333333,86.22333333333334,139.565,21.246666666666666
2018-12-23,412.78333333333336,592.6766666666666,122.94,67.87,154.98999999999998,19.52
2018-12-24,402.02833333333336,589.9483333333334,147.62666666666667,80.76833333333333,172.78833333333333,18.386666666666667
2018-12-25,299.9433333333333,433.67,57.005,65.62666666666667,80.95166666666667,15.546666666666667
2018-12-26,235.16666666666666,359.35999999999996,49.929999999999986,67.05999999999999,78.69000000000001,19.123333333333335
2018-12-27,290.41333333333336,458.4883333333333,116.88833333333334,74.87166666666666,146.25833333333335,18.49
2018-12-28,256.1433333333334,398.98333333333335,38.14833333333333,56.413333333333334,60.66166666666667,17.595
2018-12-29,239.53833333333333,385.9533333333333,64.23333333333333,57.36333333333334,81.99,19.069999999999997
2018-12-30,332.52,496.51500000000004,127.89333333333333,70.09833333333333,147.74833333333336,21.005
2018-12-31,349.80833333333334,525.6800000000001,127.25333333333334,67.61,139.48833333333332,19.42166666666667
2019-01-01,309.88166666666666,479.7183333333333,101.89,64.61833333333334,120.78833333333334,20.235
2019-01-02,348.0116666666667,519.9200000000001,103.51166666666666,66.13,119.08999999999999,22.63
2019-01-03,356.59999999999997,518.6266666666667,75.51833333333333,67.26166666666667,96.93833333333333,16.935000000000002
2019-01-04,276.67,441.78333333333336,53.828333333333326,61.93000000000001,76.42833333333333,17.745
