StationId,PM2.5,PM10,NO,NO2,NOx,SO2
DL003,122.83,220.1,34.62,44.03,51.65,16.59
DL003,79.38,153.88,22.42,62.14,50.64,21.17
DL003,101.52,203.02,33.22,69.03,63.77,21.98
DL003,121.75,245.88,49.57,70.43,77.84,23.07
DL003,86.16,199.62,30.46,64.22,59.08,22.02
DL003,78.65,188.9,17.85,54.62,43.58,28.32
DL003,85.9,182.22,25.19,71.24,58.42,28.59
DL003,87.88,238.56,12.41,58.8,41.37,24.73
DL003,55.62,145.17,2.35,39.54,22.94,16.97
DL003,89.73,256.1,15.78,62.16,45.9,30.58
DL003,128.33,245.73,30.17,54.6,53.68,25.53
DL003,89.0,164.52,37.99,59.61,62.73,29.46
DL003,79.21,158.15,17.81,67.9,50.65,28.64
DL003,102.58,194.15,18.4,64.25,49.2,28.75
DL003,108.52,201.92,34.71,76.02,68.82,34.22
DL003,115.02,222.04,50.2,80.92,83.98,32.47
DL003,89.65,225.17,27.87,60.41,54.81,25.01
DL003,116.75,184.71,6.01,34.77,22.3,25.43
DL003,36.62,125.46,1.85,37.75,21.08,25.28
DL003,58.23,149.25,5.04,56.57,34.19,28.24
DL003,60.46,150.23,17.52,54.55,43.32,33.43
DL003,66.35,145.31,9.76,46.6,32.74,25.13
DL003,86.31,173.79,21.43,61.82,50.4,32.39
DL003,89.73,187.83,31.84,74.35,65.47,35.3
DL003,157.94,260.29,51.67,72.65,80.78,36.65
DL003,106.48,238.75,41.67,69.05,70.7,24.53
DL003,101.77,203.04,13.54,59.42,42.59,30.68
DL003,57.5,167.81,9.02,59.56,39.03,32.82
DL003,63.85,163.27,7.25,61.6,38.68,34.33
DL003,100.1,187.6,30.48,79.52,67.16,40.58
DL003,93.52,193.25,13.38,63.95,44.89,23.92
DL003,123.9,200.69,18.37,72.98,53.83,40.74
DL003,123.85,201.67,35.72,76.85,69.97,44.37
DL003,136.26,241.61,27.93,60.9,55.29,32.34
DL003,182.66,261.74,12.41,48.38,35.85,30.86
DL003,112.31,185.94,7.73,51.75,33.9,19.2
DL003,94.36,152.44,17.25,59.87,45.93,28.08
DL003,105.7,163.42,23.16,61.68,51.68,33.11
DL003,80.31,148.98,5.97,51.2,32.09,27.15
DL003,77.0,147.21,2.92,42.29,24.86,23.93
DL003,65.32,131.58,4.36,40.68,25.21,23.31
DL003,69.04,135.4,15.64,56.61,42.85,31.02
DL003,78.38,155.88,19.87,52.15,43.91,24.05
DL003,96.5,128.5,7.54,34.99,24.47,15.23
DL003,22.6,59.21,0.88,25.48,14.14,12.0
DL003,38.69,78.5,3.01,39.11,23.25,16.8
DL003,70.96,119.92,31.76,63.96,60.24,31.99
DL003,97.5,147.94,16.05,69.9,50.27,34.38
DL003,108.0,162.61,31.11,71.94,63.68,27.39
DL003,108.84,165.96,21.48,69.32,54.52,35.09
DL003,111.59,185.58,54.76,84.04,89.32,32.73
DL003,101.5,183.48,2.65,57.76,32.86,20.57
DL003,109.1,205.35,0.94,38.92,21.42,20.84
DL003,90.32,163.6,21.24,68.64,53.89,34.81
DL003,101.07,196.97,11.58,60.77,41.75,29.95
DL003,95.68,182.27,16.8,71.99,52.0,34.98
DL003,98.65,188.21,33.84,77.09,68.57,33.19
DL003,101.84,204.27,5.98,56.2,34.99,28.74
DL003,109.05,268.67,9.95,60.06,40.04,31.03
DL003,70.3,334.71,4.53,29.81,19.55,20.59
DL003,49.15,195.94,5.14,30.96,20.64,20.17
DL003,88.3,263.33,17.44,60.53,46.41,37.19
DL003,76.08,289.42,23.62,56.74,49.43,21.98
DL003,127.97,388.56,48.14,65.28,73.96,29.88
DL003,142.61,430.88,42.54,61.98,67.64,24.47
DL003,122.0,484.27,67.72,61.58,87.97,29.53
DL003,145.48,497.04,19.33,56.27,45.69,31.72
DL003,94.8,392.4,4.28,36.52,22.71,25.56
DL003,97.07,285.46,6.19,39.61,24.99,28.23
DL003,171.0,382.32,7.72,57.67,36.97,32.53
DL003,178.85,329.42,12.2,48.8,35.47,49.88
DL003,55.62,134.83,4.38,41.83,25.81,21.51
DL003,93.21,178.56,18.78,56.35,45.28,36.38
DL003,94.08,204.17,16.31,53.09,41.54,26.94
DL003,158.44,315.42,23.63,41.87,41.53,18.1
DL003,45.05,118.29,3.32,34.33,20.98,17.41
DL003,85.98,203.36,14.21,58.32,42.6,33.86
DL003,104.44,269.49,28.91,62.2,56.65,33.74
DL003,87.08,241.68,6.72,44.91,29.36,29.61
DL003,71.54,263.62,18.58,46.19,39.72,24.74
DL003,113.33,283.56,27.75,49.5,48.95,29.62
DL003,41.02,132.48,6.33,38.63,25.71,17.19
DL003,42.98,139.98,4.97,51.89,31.65,22.58
DL003,61.18,170.67,5.02,55.36,33.52,28.8
DL003,66.99,213.75,11.94,65.93,44.79,27.08
DL003,64.56,224.19,42.42,81.34,77.84,33.97
DL003,80.99,239.91,23.78,78.01,60.87,37.69
DL003,85.21,266.83,43.71,71.66,73.76,32.66
DL003,79.79,402.15,24.77,58.07,51.07,27.86
DL003,100.5,336.92,32.35,56.62,56.49,27.73
DL003,68.5,256.31,0.77,28.32,15.7,25.13
DL003,54.35,352.17,0.82,22.93,12.86,17.37
DL003,46.84,189.24,0.96,29.94,16.71,19.13
DL003,72.45,236.61,2.14,44.99,25.67,20.27
DL003,62.96,277.25,7.92,45.9,30.86,21.93
DL003,52.67,168.81,1.3,30.9,17.51,21.3
DL003,59.54,200.65,13.04,46.06,35.13,19.01
DL003,114.42,314.59,46.55,66.2,73.15,35.08
DL003,70.91,270.28,32.39,65.06,61.0,21.56
DL003,107.89,448.82,22.72,45.41,42.67,18.2
DL003,47.2,251.32,5.05,21.54,15.58,15.18
